id,year,cob_bf,p_ab_lp,ubs_p_100_h
1101104,2014,,,
1101104,2015,70.31,78.99,"0,10"
1101104,2016,64.86,66.99,"0,20"
1101104,2017,60.97,60.32,"0,19"
1101104,2018,,,"0,20"
1101104,2019,,,"0,19"
1101104,2020,,,"0,19"
1101203,2010,,,
1101203,2011,,,
1101203,2012,,,
1101203,2013,,,
1101203,2014,,,
1101203,2015,60,57.36,"0,09"
1101203,2016,55.37,56.6,"0,09"
1101203,2017,52.31,53.33,"0,09"
1101203,2018,,,"0,21"
1101203,2019,,,"0,21"
1101203,2020,,,"0,21"
1101302,2010,,,
1101302,2011,,,
1101302,2012,,,
1101302,2013,,,
1101302,2014,,,
1101302,2015,56.43,58.87,"0,16"
1101302,2016,47.3,57.16,"0,16"
1101302,2017,54.38,59.38,"0,16"
1101302,2018,,,"0,18"
1101302,2019,,,"0,18"
1101302,2020,,,"0,19"
1101401,2010,,,
1101401,2011,,,
1101401,2012,,,
1101401,2013,,,
1101401,2014,,,
1101401,2015,63.4,57.94,"0,44"
1101401,2016,56.02,45.83,"0,37"
1101401,2017,50.75,44.98,"0,37"
1101401,2018,,,"0,32"
1101401,2019,,,"0,32"
1101401,2020,,,"0,31"
1101435,2010,,,
1101435,2011,,,
1101435,2012,,,
1101435,2013,,,
1101435,2014,,,
1101435,2015,63.82,76.79,"0,13"
1101435,2016,58.27,74.31,"0,13"
1101435,2017,49.16,58.99,"0,13"
1101435,2018,,,"0,14"
1101435,2019,,,"0,14"
1101435,2020,,,"0,15"
1101450,2010,,,
1101450,2011,,,
1101450,2012,,,
1101450,2013,,,
1101450,2014,,,
1101450,2015,69.91,78.35,"0,00"
1101450,2016,49.63,53.62,"0,00"
1101450,2017,47.42,45.27,"0,00"
1101450,2018,,,"0,00"
1101450,2019,,,"0,00"
1101450,2020,,,"0,48"
1101468,2010,,,
1101468,2011,,,
1101468,2012,,,
1101468,2013,,,
1101468,2014,,,
1101468,2015,68.03,71.11,"0,83"
1101468,2016,55.34,63.22,"0,41"
1101468,2017,53.06,55.31,"0,42"
1101468,2018,,,"0,46"
1101468,2019,,,"0,46"
1101468,2020,,,"0,47"
1101476,2010,,,
1101476,2011,,,
1101476,2012,,,
1101476,2013,,,
1101476,2014,,,
1101476,2015,61.33,61.68,"0,57"
1101476,2016,51.12,56.4,"0,58"
1101476,2017,43.85,47.81,"0,59"
1101476,2018,,,"0,68"
1101476,2019,,,"0,70"
1101476,2020,,,"0,72"
1101484,2010,,,
1101484,2011,,,
1101484,2012,,,
1101484,2013,,,
1101484,2014,,,
1101484,2015,42.99,50.4,"0,49"
1101484,2016,17.97,38.44,"0,50"
1101484,2017,18.69,29.82,"0,50"
1101484,2018,,,"0,38"
1101484,2019,,,"0,39"
1101484,2020,,,"0,40"
1101492,2010,,,
1101492,2011,,,
1101492,2012,,,
1101492,2013,,,
1101492,2014,,,
1101492,2015,71.57,78.95,"0,16"
1101492,2016,66.46,76.3,"0,26"
